design,format,brand,plating,shape,size,stones_per_unit,colourways_seen,agree,families_seen
0209,001,D,C,octagon 2h,14,7.0,5,yes,BDC-8232 | BDC-8249
0209,001,D,G,chaton,26,2.0,6,yes,C01-1028
0209,001,D,G,octagon 2h,14,7.0,6,yes,BDC-8232
0210,001,D,G,chaton,18,6.0,1,yes,C01-1028
0210,001,D,G,chaton,26,2.0,1,yes,C01-1028
0210,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0215,001,D,C,octagon 2h,14,9.0,4,yes,BDC-8232
0215,001,D,G,octagon 2h,14,9.0,6,yes,BDC-8232
0220,001,D,C,chaton,26,6.0,1,yes,C01-1028
0220,001,D,C,octagon 2h,14,2.0,1,yes,BDC-8232
0221,001,D,C,chaton,26,6.0,4,yes,C01-1028
0221,001,D,C,octagon 2h,14,4.0,4,yes,BDC-8232
0221,001,D,G,chaton,26,6.0,3,yes,C01-1028
0221,001,D,G,octagon 2h,14,4.0,3,yes,BDC-8232
0226,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0229,001,D,C,chaton,26,1.0,1,yes,C01-1028
0229,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0232,001,D,C,chaton,18,4.0,2,yes,C01-1028
0232,001,D,C,chaton,26,4.0,2,yes,C01-1028
0232,001,D,C,octagon 2h,14,3.0,2,yes,BDC-8232
0232,001,D,G,chaton,18,4.0,4,yes,C01-1028
0232,001,D,G,chaton,26,4.0,4,yes,C01-1028
0232,001,D,G,octagon 2h,14,3.0,4,yes,BDC-8232
0235,001,D,C,chaton,18,16.0,1,yes,C01-1028
0235,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0240,224,D,C,chaton,18,7.0,2,yes,C01-1028
0240,224,D,C,octagon 2h,14,7.0,2,yes,BDC-8232
0240,224,D,G,chaton,18,7.0,2,yes,C01-1028
0240,224,D,G,octagon 2h,14,7.0,2,yes,BDC-8232
0241,001,D,C,chaton,26,8.0,4,yes,C01-1028
0241,001,D,C,octagon 2h,14,2.0,4,yes,BDC-8232
0242,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0246,001,D,C,chaton,18,6.0,3,yes,C01-1028
0246,001,D,C,chaton,26,1.0,3,yes,C01-1028
0246,001,D,C,octagon 2h,14,5.0,3,yes,BDC-8232
0246,001,D,G,chaton,18,6.0,4,yes,C01-1028
0246,001,D,G,chaton,26,1.0,4,yes,C01-1028
0246,001,D,G,octagon 2h,14,5.0,4,yes,BDC-8232
0251,001,D,C,octagon 2h,14,2.0,1,yes,BDC-8232
0251,001,D,C,octagon 2h,20,1.0,1,yes,C01
0256,001,D,G,octagon 2h,14,5.0,3,yes,BDC-8232 | C01-8016
0257,001,A,G,chaton,26,2.0,1,yes,C01-1028
0257,001,A,G,chaton,32,1.0,1,yes,C01-1028
0257,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0257,001,D,C,chaton,26,2.0,1,yes,C01-1028
0257,001,D,C,chaton,32,1.0,1,yes,C01-1028
0257,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0257,001,D,G,chaton,26,2.0,2,yes,C01-1028
0257,001,D,G,chaton,32,1.0,2,yes,C01-1028
0257,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0258,001,A,G,chaton,26,1.0,1,yes,C01-1028
0258,001,A,G,chaton,32,1.0,1,yes,C01-1028
0258,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0258,001,D,C,chaton,26,1.0,2,yes,C01-1028
0258,001,D,C,chaton,32,1.0,2,yes,C01-1028
0258,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0258,001,D,G,chaton,26,1.0,2,yes,C01-1028
0258,001,D,G,chaton,32,1.0,2,yes,C01-1028
0258,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0259,001,A,G,chaton,26,1.0,1,yes,C01-1028
0259,001,A,G,chaton,32,1.0,1,yes,C01-1028
0259,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0259,001,D,C,chaton,26,1.0,2,yes,C01-1028
0259,001,D,C,chaton,32,1.0,2,yes,C01-1028
0259,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0259,001,D,G,chaton,26,1.0,2,yes,C01-1028
0259,001,D,G,chaton,32,1.0,2,yes,C01-1028
0259,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0260,001,A,G,chaton,26,2.0,1,yes,C01-1028
0260,001,A,G,chaton,32,1.0,1,yes,C01-1028
0260,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0260,001,D,C,chaton,26,2.0,2,yes,C01-1028
0260,001,D,C,chaton,32,1.0,2,yes,C01-1028
0260,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0260,001,D,G,chaton,26,2.0,2,yes,C01-1028
0260,001,D,G,chaton,32,1.0,2,yes,C01-1028
0260,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0261,001,A,G,chaton,26,2.0,1,yes,C01-1028
0261,001,A,G,chaton,32,1.0,1,yes,C01-1028
0261,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0261,001,D,C,chaton,26,2.0,2,yes,C01-1028
0261,001,D,C,chaton,32,1.0,2,yes,C01-1028
0261,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0261,001,D,G,chaton,26,2.0,2,yes,C01-1028
0261,001,D,G,chaton,32,1.0,2,yes,C01-1028
0261,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0262,001,A,G,chaton,26,2.0,1,yes,C01-1028
0262,001,A,G,chaton,32,1.0,1,yes,C01-1028
0262,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0262,001,D,C,chaton,26,2.0,2,yes,C01-1028
0262,001,D,C,chaton,32,1.0,2,yes,C01-1028
0262,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0262,001,D,G,chaton,26,2.0,2,yes,C01-1028
0262,001,D,G,chaton,32,1.0,2,yes,C01-1028
0262,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0263,001,A,G,chaton,26,2.0,1,yes,C01-1028
0263,001,A,G,chaton,32,1.0,1,yes,C01-1028
0263,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0263,001,D,C,chaton,26,2.0,2,yes,C01-1028
0263,001,D,C,chaton,32,1.0,2,yes,C01-1028
0263,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0263,001,D,G,chaton,26,2.0,2,yes,C01-1028
0263,001,D,G,chaton,32,1.0,2,yes,C01-1028
0263,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0264,001,A,G,chaton,18,2.0,1,yes,C01-1028
0264,001,A,G,chaton,32,1.0,1,yes,C01-1028
0264,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0264,001,D,C,chaton,18,2.0,2,yes,C01-1028
0264,001,D,C,chaton,32,1.0,2,yes,C01-1028
0264,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0264,001,D,G,chaton,18,2.0,2,yes,C01-1028
0264,001,D,G,chaton,32,1.0,2,yes,C01-1028
0264,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0265,001,A,G,chaton,26,1.0,1,yes,C01-1028
0265,001,A,G,chaton,32,1.0,1,yes,C01-1028
0265,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0265,001,D,C,chaton,26,1.0,2,yes,C01-1028
0265,001,D,C,chaton,32,1.0,2,yes,C01-1028
0265,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0265,001,D,G,chaton,26,1.0,2,yes,C01-1028
0265,001,D,G,chaton,32,1.0,2,yes,C01-1028
0265,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0266,001,A,G,chaton,26,2.0,1,yes,C01-1028
0266,001,A,G,chaton,32,1.0,1,yes,C01-1028
0266,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0266,001,D,C,chaton,26,2.0,2,yes,C01-1028
0266,001,D,C,chaton,32,1.0,2,yes,C01-1028
0266,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0266,001,D,G,chaton,26,2.0,2,yes,C01-1028
0266,001,D,G,chaton,32,1.0,2,yes,C01-1028
