design,format,name,status,classification,app_pcs,app_cbm,app_box,sheet_options,sheet_pcs,sheet_cbm,sheet_box,sheet_weight_ctn,sheet_carton_dims
0028,230,Eagle with Crystal Bible,active,not in sheet,48,,,0,,,,,
0029,001,Cross Freestand,active,identical + multi-option,36,0.0503,P-PB005ROS-02-01,2,24 | 36,0.0645 | 0.0503,P-PB031ROS-02-01 | P-PB005ROS-02-01, | 5, | 43.5 x 33.5 x  34.5 CM
0030,001,Mini Cross Freestand,active,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.7,32.6 x 28.5 x 17.8 CM
0030,230,Mini Cross with Crystal Bible,active,VALUE CHANGE,48,,,1,48,0.0358,P-PB006ROS-02-01,,37.5 x 27.3 x 35 CM
0030,236,Mini Cross Music Box (Wood Body),active,not in sheet,36,,,0,,,,,
0031,001,Dolphin Freestand,active,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,3.1,28.5 x 28 x 20.5 CM
0031,236,Dolphin Music Box (Wood Body),active,not in sheet,36,,,0,,,,,
0032,001,Treble Clef,stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.3,33 x 32.5 x 23 CM
0033,001,Mini Treble Clef Freestand,active,VALUE CHANGE,96,0.0165,PB001,1,48,0.0164,P-PB007ROS-02-01,,28.5 x 28 x 20.5 CM
0035,001,Turtle,stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.6,32.6 x 28.5 x 17.8 CM
0037,001,Twin Heart Freestand,active,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.9,32.6 x 28.5 x 17.8 CM
0037,230,Twin Hearts with Crystal Bible,active,not in sheet,48,,,0,,,,,
0037,232,Twin Hearts - Zinc alloy Mini Oval Base with Round Plaque,stock,not in sheet,48,0.016,6.8 x 4.4 x 9.1 cm,0,,,,,
0037,236,Twin Heart Music Box (Wood Body),active,not in sheet,36,,,0,,,,,
0040,001,Twin Hearts(Love),stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.9,32.6 x 28.5 x 17.8 CM
0040,232,Twin Hearts(Love) - Zinc alloy Mini Oval Base with Round Plaque,stock,not in sheet,48,0.016,6.8 x 4.4 x 9.1 cm,0,,,,,
0042,001,Heart,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.4,28.5 x 28 x 20.5 CM
0042,239,Heart,stock,not in sheet,48,0.016,6.8 x 4.4 x 9.1 cm,0,,,,,
0043,231,Mini Heart - Zinc alloy Mobile Freestand with Black Pad Print,stock,not in sheet,48,0.025,10.1  x 4 x 12.1 cm,0,,,,,
0045,001,Cat(Ball),stock,identical,24,0.0177,P-PB006ROS-02-01,1,24,0.0177,P-PB006ROS-02-01,1.7,28.2 x 27.3 x 23 CM
0046,001,Lighthouse,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,3.77,28.5 x 28 x 20.5 CM
0055,001,Violin Freestand,active,reference upgrade + multi-option,24,0.05,P-PB032-01-15,3,12 | 24 | 48,0.048 | 0.05 | 0.0164,P-GB028M02 | P-PB032ROS-02-01 | P-PB007ROS-02-01,10.8 | 12.3 | 3, |  | 28.5 x 28 x 20.5 CM
0055,236,Violin Music Box (Wood Body),active,not in sheet,36,,,0,,,,,
0058,001,Snowflake,stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.4,33 x 32.5 x 23 CM
0061,001,Globe Freestand,active,VALUE CHANGE,24,0.0178,P-PB006ROS-02-01,1,24,0.0177,P-PB006ROS-02-01,2.3,28.2 x 27.3 x 23 CM
0061,237,Globe Pen Stand (Wood Base),active,not in sheet,24,,,0,,,,,
0062,001,Mini Globe Freestand,active,identical + multi-option,48,0.0164,P-PB007ROS-02-01,2,24 | 48,0.05 | 0.0164,P-PB032ROS-02-01 | P-PB007ROS-02-01, | 3.3, | 28.5 x 28 x 20.5 CM
0062,236,Mini Globe Music Box (Wood Body),active,not in sheet,36,,,0,,,,,
0063,001,Sweet Heart,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.66,28.5 x 28 x 20.5 CM
0064,001,Hugging Heart,stock,identical + multi-option,48,0.0247,P-PB002ROS-02-01,2,24 | 48,0.05 | 0.0247,P-PB032ROS-02-01 | P-PB002ROS-02-01, | 3.3, | 33 x 32.5 x 23 CM
0064,239,Hugging Heart,stock,not in sheet,48,0.025,7.6 x 5.1 x 10.1 cm,0,,,,,
0065,001,Cardinal,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,3,28.5 x 28 x 20.5 CM
0070,001,Crystal Egg,stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.9,33 x 32.5 x 23 CM
0083,001,Mini Sunburst,stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.8,32.6 x 28.5 x 17.8 CM
0083,230,Mini Sunburst with Crystal Bible,active,not in sheet,48,,,0,,,,,
0085,001,Flower Fairy(Rose),stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.1,33 x 32.5 x 23 CM
0086,001,Flower Fairy(Heart),stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.1,33 x 32.5 x 23 CM
0088,001,Mini Hooded Owl Freestand,active,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.8,32.6 x 28.5 x 17.8 CM
0088,230,Mini Owl with Crystal Bible,active,not in sheet,48,,,0,,,,,
0088,236,Mini Owl Music Box (Wood Body),active,not in sheet,36,,,0,,,,,
0089,001,Mini Spotted Owl,stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.8,32.6 x 28.5 x 17.8 CM
0092,001,Fan-Out Peacock,stock,identical,36,0.0503,P-PB005ROS-02-01,1,36,0.0503,P-PB005ROS-02-01,4,43.5 x 33.5 x  34.5 CM
0094,001,Mini Dolphin Freestand,active,VALUE CHANGE,48,0.0419,P-PB035-02-01,1,96,0.0165,P-PB001ROS-02-01,4.5,32.6 x 28.5 x 17.8 CM
0094,230,Mini Dolphin with Crystal Bible,active,not in sheet,48,,,0,,,,,
0095,001,Tommy Cat,stock,VALUE CHANGE,48,0.0338,P-PB006ROS-02-01,1,48,0.0358,P-PB006ROS-02-01,3.6,37.5 x 27.3 x 35 CM
0096,001,Suzy Cat,stock,VALUE CHANGE,48,0.0338,P-PB006ROS-02-01,1,48,0.0358,P-PB006ROS-02-01,3.6,37.5 x 27.3 x 35 CM
0102,001,Double Music Note,stock,VALUE CHANGE,48,0.0164,P-PB007ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,2.8,33 x 32.5 x 23 CM
0103,001,Music Note,stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,2.9,33 x 32.5 x 23 CM
0106,001,Junior Angel(Doves),stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.1,33 x 32.5 x 23 CM
0107,001,Junior Angel(Heart),stock,identical + multi-option,48,0.0247,P-PB002ROS-02-01,2,12 | 48,0.048 | 0.0247,P-GB028M02 | P-PB002ROS-02-01,10.8 | 3, | 33 x 32.5 x 23 CM
0108,001,Junior Angel(Lyre),stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3,33 x 32.5 x 23 CM
0109,001,B-fly Fairy(Dancing),stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3,33 x 32.5 x 23 CM
0110,001,B-fly Fairy(Heart),stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3,33 x 32.5 x 23 CM
0111,001,B-fly Fairy(Ribbon),stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3,33 x 32.5 x 23 CM
0112,001,B-fly Fairy(Star),stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.29,33 x 32.5 x 23 CM
0114,001,Butterfly,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,3.29,28.5 x 28 x 20.5 CM
0115,001,Comma Butterfly,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,3,28.5 x 28 x 20.5 CM
0118,001,Watering Can,retired,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.9,32.6 x 28.5 x 17.8 CM
0119,001,Hooded Owl,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,3.1,28.5 x 28 x 20.5 CM
0121,001,Tennis Racquet,stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.3,33 x 32.5 x 23 CM
0122,001,Penguin,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.6,28.5 x 28 x 20.5 CM
0123,001,Fruit - Apple,stock,VALUE CHANGE,96,,,1,96,0.0165,P-PB001ROS-02-01,,32.6 x 28.5 x 17.8 CM
0124,001,Fruit - Strawberry,stock,VALUE CHANGE,96,,,1,96,0.0165,P-PB001ROS-02-01,,32.6 x 28.5 x 17.8 CM
0125,001,Fruit - Pineapple,stock,VALUE CHANGE,96,,,1,96,0.0165,P-PB001ROS-02-01,,32.6 x 28.5 x 17.8 CM
